brand,mileage_band,age_band,price
nissan,50k-100k,11-15,3410.0
nissan,50k-100k,16-20,1938.0
nissan,50k-100k,21-40,3291.0
nissan,50k-100k,40+,
nissan,100k-150k,0-5,12471.0
nissan,100k-150k,6-10,8198.0
nissan,100k-150k,11-15,3223.0
nissan,100k-150k,16-20,1269.0
nissan,100k-150k,21-40,2541.0
nissan,100k-150k,40+,
nissan,150k+,0-5,11548.0
nissan,150k+,6-10,6678.0
nissan,150k+,11-15,2607.0
nissan,150k+,16-20,1173.0
nissan,150k+,21-40,1380.0
nissan,150k+,40+,
opel,0-50k,0-5,12761.0
opel,0-50k,6-10,7519.0
opel,0-50k,11-15,3438.0
opel,0-50k,16-20,1099.0
opel,0-50k,21-40,2940.0
opel,0-50k,40+,8181.0
opel,50k-100k,0-5,11405.0
opel,50k-100k,6-10,6879.0
opel,50k-100k,11-15,3212.0
opel,50k-100k,16-20,1428.0
opel,50k-100k,21-40,1924.0
opel,50k-100k,40+,7165.0
opel,100k-150k,0-5,9842.0
opel,100k-150k,6-10,5743.0
opel,100k-150k,11-15,2738.0
opel,100k-150k,16-20,1073.0
opel,100k-150k,21-40,1248.0
opel,100k-150k,40+,3862.0
opel,150k+,0-5,8625.0
opel,150k+,6-10,4796.0
opel,150k+,11-15,2180.0
opel,150k+,16-20,882.0
opel,150k+,21-40,960.0
opel,150k+,40+,5770.0
peugeot,0-50k,0-5,11865.0
peugeot,0-50k,6-10,6408.0
peugeot,0-50k,11-15,2955.0
peugeot,0-50k,16-20,1041.0
peugeot,0-50k,21-40,1232.0
peugeot,0-50k,40+,3988.0
peugeot,50k-100k,0-5,10456.0
peugeot,50k-100k,6-10,5811.0
peugeot,50k-100k,11-15,3383.0
peugeot,50k-100k,16-20,1297.0
peugeot,50k-100k,21-40,1657.0
peugeot,50k-100k,40+,9366.0
peugeot,100k-150k,0-5,9267.0
peugeot,100k-150k,6-10,4761.0
peugeot,100k-150k,11-15,2677.0
peugeot,100k-150k,16-20,1165.0
peugeot,100k-150k,21-40,1462.0
peugeot,100k-150k,40+,7241.0
peugeot,150k+,0-5,8086.0
peugeot,150k+,6-10,4167.0
peugeot,150k+,11-15,1991.0
peugeot,150k+,16-20,897.0
peugeot,150k+,21-40,951.0
peugeot,150k+,40+,6718.0
porsche,0-50k,0-5,63821.0
porsche,0-50k,6-10,47274.0
porsche,0-50k,11-15,45435.0
porsche,0-50k,16-20,46343.0
porsche,0-50k,21-40,33180.0
porsche,0-50k,40+,28423.0
porsche,50k-100k,0-5,54185.0
porsche,50k-100k,6-10,41492.0
porsche,50k-100k,11-15,28414.0
porsche,50k-100k,16-20,28530.0
porsche,50k-100k,21-40,33724.0
porsche,50k-100k,40+,35056.0
porsche,100k-150k,0-5,50030.0
porsche,100k-150k,6-10,31091.0
porsche,100k-150k,11-15,24498.0
porsche,100k-150k,16-20,28885.0
porsche,100k-150k,21-40,42894.0
porsche,100k-150k,40+,16154.0
porsche,150k+,0-5,42845.0
porsche,150k+,6-10,25777.0
porsche,150k+,11-15,18467.0
porsche,150k+,16-20,19089.0
porsche,150k+,21-40,28784.0
porsche,150k+,40+,38152.0
renault,0-50k,0-5,10176.0
renault,0-50k,6-10,5408.0
renault,0-50k,11-15,2151.0
renault,0-50k,16-20,1050.0
renault,0-50k,21-40,2366.0
renault,0-50k,40+,12471.0
renault,50k-100k,0-5,9798.0
renault,50k-100k,6-10,5358.0
renault,50k-100k,11-15,2407.0
renault,50k-100k,16-20,1103.0
renault,50k-100k,21-40,2428.0
renault,50k-100k,40+,12244.0
renault,100k-150k,0-5,8619.0
renault,100k-150k,6-10,4724.0
renault,100k-150k,11-15,2047.0
renault,100k-150k,16-20,1022.0
renault,100k-150k,21-40,1132.0
renault,100k-150k,40+,4725.0
renault,150k+,0-5,7967.0
renault,150k+,6-10,3966.0
renault,150k+,11-15,1649.0
renault,150k+,16-20,801.0
renault,150k+,21-40,888.0
renault,150k+,40+,4433.0
rover,0-50k,0-5,
rover,0-50k,6-10,28900.0
rover,0-50k,11-15,6783.0
rover,0-50k,16-20,2158.0
rover,0-50k,21-40,13022.0
rover,0-50k,40+,2700.0
rover,50k-100k,0-5,
rover,50k-100k,6-10,
rover,50k-100k,11-15,1702.0
rover,50k-100k,16-20,1789.0
rover,50k-100k,21-40,3062.0
rover,50k-100k,40+,
rover,100k-150k,0-5,
rover,100k-150k,6-10,
rover,100k-150k,11-15,1975.0
rover,100k-150k,16-20,1639.0
rover,100k-150k,21-40,1333.0
rover,100k-150k,40+,
rover,150k+,0-5,
rover,150k+,6-10,11517.0
rover,150k+,11-15,1573.0
rover,150k+,16-20,959.0
rover,150k+,21-40,1224.0
rover,150k+,40+,4895.0
saab,0-50k,0-5,16990.0
saab,0-50k,6-10,19990.0
saab,0-50k,11-15,15000.0
saab,0-50k,16-20,1075.0
saab,0-50k,21-40,1500.0
saab,0-50k,40+,2350.0
saab,50k-100k,0-5,19600.0
saab,50k-100k,6-10,13243.0
saab,50k-100k,11-15,5876.0
saab,50k-100k,16-20,6342.0
saab,50k-100k,21-40,5829.0
saab,50k-100k,40+,
saab,100k-150k,0-5,
saab,100k-150k,6-10,8342.0
saab,100k-150k,11-15,5014.0
saab,100k-150k,16-20,3244.0
saab,100k-150k,21-40,1862.0
saab,100k-150k,40+,
saab,150k+,0-5,20900.0
saab,150k+,6-10,7950.0
saab,150k+,11-15,3414.0
saab,150k+,16-20,1873.0
saab,150k+,21-40,4038.0
saab,150k+,40+,
seat,0-50k,0-5,13336.0
seat,0-50k,6-10,7536.0
seat,0-50k,11-15,2743.0
seat,0-50k,16-20,968.0
seat,0-50k,21-40,946.0
seat,0-50k,40+,
seat,50k-100k,0-5,11227.0
seat,50k-100k,6-10,7279.0
seat,50k-100k,11-15,3309.0
seat,50k-100k,16-20,1229.0
seat,50k-100k,21-40,798.0
seat,50k-100k,40+,
seat,100k-150k,0-5,9624.0
seat,100k-150k,6-10,5823.0
seat,100k-150k,11-15,2910.0
seat,100k-150k,16-20,1024.0
seat,100k-150k,21-40,597.0
seat,100k-150k,40+,
seat,150k+,0-5,9117.0
seat,150k+,6-10,5211.0
seat,150k+,11-15,2474.0
seat,150k+,16-20,954.0
seat,150k+,21-40,503.0
seat,150k+,40+,
skoda,0-50k,0-5,13814.0
skoda,0-50k,6-10,7334.0
skoda,0-50k,11-15,3658.0
skoda,0-50k,16-20,875.0
skoda,0-50k,21-40,1550.0
skoda,0-50k,40+,3938.0
skoda,50k-100k,0-5,13130.0
skoda,50k-100k,6-10,7465.0
skoda,50k-100k,11-15,3282.0
skoda,50k-100k,16-20,824.0
skoda,50k-100k,21-40,1498.0
skoda,50k-100k,40+,4271.0
skoda,100k-150k,0-5,11503.0
skoda,100k-150k,6-10,7122.0
skoda,100k-150k,11-15,3235.0
skoda,100k-150k,16-20,1215.0
skoda,100k-150k,21-40,725.0
skoda,100k-150k,40+,
skoda,150k+,0-5,9829.0
skoda,150k+,6-10,5958.0
skoda,150k+,11-15,2731.0
skoda,150k+,16-20,1304.0
skoda,150k+,21-40,360.0
skoda,150k+,40+,
smart,0-50k,0-5,8048.0
smart,0-50k,6-10,5859.0
smart,0-50k,11-15,3802.0
smart,0-50k,16-20,1454.0
smart,0-50k,21-40,
smart,0-50k,40+,
smart,50k-100k,0-5,6132.0
